pff_player_id,player_name,prev_season,current_season,prev_position,current_pos,prev_school,current_school,wick_score,capped_wick_score,prev_def_snaps,current_def_snaps,prev_off_snaps,current_off_snaps
160756,Kevin Coleman,2022,2023,WR,WR,Jackson State,Louisville,67.7,67.9,1.0,2.0,489.0,389.0
104059,Da'Quan Felton,2022,2023,WR,WR,Norfolk State,Virginia Tech,50.1,49.7,,1.0,491.0,632.0
124211,Ja'Mori Maclin,2023,2024,WR,WR,North Texas,Kentucky,55.8,55.7,,1.0,854.0,393.0
123689,Jabre Barber,2023,2024,WR,WR,Troy,Texas A&M,57.9,58.6,1.0,1.0,537.0,444.0
97215,Lincoln Victor,2020,2021,WR,WR,Hawaii,Washington State,54.2,54.9,,1.0,13.0,207.0
78831,Zack Dobson,2022,2023,WR,WR,Tennessee State,Middle Tennessee,59.5,59.4,,1.0,182.0,191.0
145441,Fred Farrier II,2023,2024,WR,WR,UAB,Kentucky,51.4,51.2,,1.0,490.0,299.0
98358,Joshua Simon,2022,2023,TE,TE,Western Kentucky,South Carolina,63.7,66.3,,1.0,348.0,393.0
159936,Desmond Reid,2023,2024,HB,HB,Western Carolina,Pittsburgh,55.2,63.8,,1.0,312.0,607.0
142437,Abdul Janneh Jr.,2022,2023,WR,WR,Duquesne,Georgia Tech,49.1,48.7,,1.0,651.0,155.0
150169,Gage Larvadain,2022,2023,WR,WR,Southeastern Louisiana,Miami (OH),54.9,54.6,1.0,1.0,529.0,407.0
129394,Jamoi Mayes,2023,2024,WR,WR,Chattanooga,Cincinnati,46.8,45.9,1.0,1.0,847.0,586.0
123616,LaJohntay Wester,2023,2024,WR,WR,Florida Atlantic,Colorado,64.7,66.6,2.0,1.0,680.0,756.0
157518,Jacoby Jones,2023,2024,WR,WR,Ohio,UCF,53.8,53.7,,1.0,103.0,311.0
142525,Jacari Carter,2022,2023,WR,WR,Merrimack,Georgia State,41.9,42.0,1.0,1.0,531.0,395.0
147570,Josh Cuevas,2022,2023,TE,TE,Cal Poly,Washington,47.5,48.6,,1.0,613.0,144.0
102597,Jerreth Sterns,2020,2021,WR,WR,Houston Baptist,Western Kentucky,100.0,100.0,,2.0,302.0,888.0
87665,Michael Jefferson,2020,2021,WR,WR,Alabama State,Louisiana,62.7,64.2,,4.0,375.0,308.0
121811,Jaylin Lane,2022,2023,WR,WR,Middle Tennessee,Virginia Tech,61.5,63.1,1.0,1.0,686.0,528.0
149111,Tre Shackelford,2023,2024,WR,WR,Austin Peay,Washington State,24.9,24.4,,2.0,676.0,179.0
125264,Micah Davis,2023,2024,WR,WR,Utah State,Mississippi,47.2,46.6,1.0,2.0,544.0,140.0
148343,Johncarlos Miller II,2023,2024,TE,TE,Elon,Texas Tech,44.5,48.2,,4.0,559.0,379.0
98743,Bradley Rozner,2022,2023,WR,WR,Rice,North Carolina State,53.3,53.1,,2.0,749.0,245.0
144483,Jimmy Horn Jr.,2022,2023,WR,WR,USF,Colorado,59.6,60.5,,1.0,485.0,769.0
160350,NaQuari Rogers,2023,2024,HB,HB,Campbell,New Mexico,34.5,37.1,,1.0,267.0,158.0
150199,Myles Butler,2023,2024,WR,WR,Central Arkansas,Middle Tennessee,56.3,56.0,,1.0,654.0,554.0
102599,Ben Ratzlaff,2020,2021,WR,WR,Houston Baptist,Western Kentucky,43.2,44.2,,2.0,322.0,230.0
