index,player_id,season,position,unit,player,run_defense_snaps,pass_rush_snaps,coverage_snaps,total_snaps,run_block_snaps,receiving_snaps,pass_block_snaps,run_snaps,pass_snaps,run_defense,pass_rush,coverage,discipline,defense,run_block,receiving,pass_block,run,pass,offense,coverage_rank,offense_rank,defense_rank,run_defense_rank,pass_rush_rank,receiving_rank,pass_rank,run_block_rank,pass_block_rank,run_rank,season_1,position_1,pff_player_id,wick_score,capped_wick_score
0,56122,2020,CB,defense,Cam Johnson,3947.0,0.0,4378.0,9234,0.0,0.0,0.0,0.0,0.0,57.470000000000006,,75.67,33.239999999999995,71.41,,,,,,,52.0,,104.6,262.89473684210526,,,,,,,2020,NB,56122,38.4,38.4
1,121497,2023,CB,defense,Mac McWilliams,4661.0,7.0,5398.0,11355,0.0,0.0,0.0,0.0,0.0,71.91052631578947,59.4,62.40526315789474,84.73157894736842,64.88947368421053,,,,,,,559.7222222222222,,522.0555555555555,252.42105263157896,,,,,,,2023,NB,121497,45.3,45.3
2,123734,2022,CB,defense,Davonte Brown,3602.0,56.0,4696.0,9521,0.0,0.0,0.0,0.0,0.0,68.02631578947368,69.43333333333334,63.14736842105263,82.8157894736842,64.9421052631579,,,,,,,554.2777777777778,,509.5,377.5,,,,,,,2022,CB,123734,68.5,68.5
3,157861,2023,CB,defense,Marquise Robinson,4421.0,0.0,5161.0,10188,0.0,0.0,0.0,0.0,0.0,70.78947368421052,,57.468421052631584,44.484210526315785,59.44736842105263,,,,,,,667.0,,658.8947368421053,285.7894736842105,,,,,,,2023,CB,157861,55.9,55.9
4,163211,2024,CB,defense,Donavon Platt,2326.0,49.0,3464.0,6058,0.0,0.0,0.0,0.0,0.0,51.80499999999999,58.96315789473684,69.71000000000001,81.575,67.35,,,,,,,426.3529411764706,,507.8235294117647,728.6,,,,,,,2024,CB,163211,44.7,44.7
5,172259,2023,CB,defense,D'Angelo Ponds,2554.0,154.0,5335.0,9477,0.0,0.0,0.0,0.0,0.0,77.89999999999999,64.10000000000001,79.92105263157895,81.86842105263158,80.96315789473684,,,,,,,90.58823529411764,,69.8125,61.38461538461539,,,,,,,2023,CB,172259,67.5,67.5
6,83459,2021,CB,defense,Beanie Bishop Jr.,2683.0,14.0,2811.0,7744,0.0,0.0,0.0,0.0,0.0,75.6842105263158,53.9,69.51578947368421,82.96842105263158,71.78947368421052,,,,,,,369.1333333333333,,277.6470588235294,143.5,,,,,,,2021,NB,83459,57.9,57.9
7,144393,2023,CB,defense,Jalen McMurray,4675.0,150.0,4617.0,10458,0.0,0.0,0.0,0.0,0.0,70.55789473684212,51.817647058823525,69.23684210526316,72.24736842105263,69.61578947368422,,,,,,,359.7894736842105,,366.7894736842105,292.89473684210526,,,,,,,2023,NB,144393,33.0,33.0
8,76740,2021,CB,defense,Jeremy Lucien,4193.0,0.0,3597.0,8836,0.0,0.0,0.0,0.0,0.0,69.975,,64.57000000000001,81.095,66.53,,,,,,,433.9,,390.6,274.8,,,,,,,2021,CB,76740,39.1,39.1
9,97329,2022,CB,defense,Derrick Canteen,4788.0,139.0,5213.0,11407,0.0,0.0,0.0,0.0,0.0,60.978947368421046,68.62307692307692,70.62105263157895,74.88421052631578,69.36315789473684,,,,,,,270.63157894736844,,308.2631578947368,558.421052631579,,,,,,,2022,CB,97329,54.1,54.1
10,101146,2021,CB,defense,Cam Lampkin,3808.0,120.0,4623.0,9634,0.0,0.0,0.0,0.0,0.0,58.97368421052632,49.49473684210526,56.0,77.69473684210527,56.24210526315789,,,,,,,673.8947368421053,,710.2105263157895,631.9411764705883,,,,,,,2021,CB,101146,57.1,57.1
11,102650,2023,CB,defense,Bryquice Brown,2770.0,77.0,4634.0,8321,0.0,0.0,0.0,0.0,0.0,66.3578947368421,69.6,59.17368421052631,82.54736842105264,61.21578947368421,,,,,,,626.2105263157895,,621.4736842105264,385.9473684210527,,,,,,,2023,CB,102650,47.9,47.9
12,122924,2024,CB,defense,Joshua Eaton,3676.0,98.0,4663.0,8968,0.0,0.0,0.0,0.0,0.0,60.27,66.61,64.51,44.21,64.045,,,,,,,468.85,,508.85,495.05555555555554,,,,,,,2024,CB,122924,48.5,48.5
13,128307,2023,CB,defense,Dezjhon Malone,3758.0,99.0,5774.0,10464,0.0,0.0,0.0,0.0,0.0,67.285,59.19500000000001,69.3,84.135,69.83500000000001,,,,,,,323.35,,325.15,374.45,,,,,,,2023,CB,128307,69.9,69.9
14,173211,2024,CB,defense,Brian Nelson II,3887.0,78.0,3854.0,8679,0.0,0.0,0.0,0.0,0.0,71.745,45.72,65.67,82.14,66.91499999999999,,,,,,,449.85,,418.65,212.94444444444449,,,,,,,2024,CB,173211,50.0,50.0
15,144393,2023,CB,defense,Jalen McMurray,4675.0,150.0,4617.0,10458,0.0,0.0,0.0,0.0,0.0,70.55789473684212,51.817647058823525,69.23684210526316,72.24736842105263,69.61578947368422,,,,,,,359.7894736842105,,366.7894736842105,292.89473684210526,,,,,,,2023,CB,144393,53.4,53.4
16,147394,2024,CB,defense,Malcolm Bell,2131.0,47.0,2811.0,5785,0.0,0.0,0.0,0.0,0.0,69.17,61.455,75.405,80.66,75.14500000000001,,,,,,,117.76470588235294,,108.0625,270.93333333333334,,,,,,,2024,CB,147394,50.1,50.1
17,84268,2021,CB,defense,Josh Newton,3760.0,148.0,4438.0,9885,0.0,0.0,0.0,0.0,0.0,58.63157894736842,65.34705882352942,74.03684210526316,52.15263157894736,71.03684210526316,,,,,,,172.8235294117647,,245.16666666666663,572.5333333333333,,,,,,,2021,CB,84268,60.6,60.6
18,97539,2021,CB,defense,Quincy Riley,2065.0,56.0,3219.0,5661,0.0,0.0,0.0,0.0,0.0,48.68235294117648,69.52941176470588,76.92352941176469,81.8529411764706,73.39411764705882,,,,,,,119.0,,171.33333333333334,764.0833333333334,,,,,,,2021,CB,97539,66.0,66.0
19,122837,2024,CB,defense,Tony Grimes,3061.0,13.0,5127.0,9516,0.0,0.0,0.0,0.0,0.0,63.485,60.0,73.02000000000001,52.705,71.625,,,,,,,205.4,,232.05,484.4117647058824,,,,,,,2024,CB,122837,52.4,52.4
20,129686,2023,CB,defense,RJ Delancy III,1890.0,34.0,2788.0,5838,0.0,0.0,0.0,0.0,0.0,75.85263157894737,60.2,86.8578947368421,73.89999999999999,86.73157894736842,,,,,,,19.88235294117647,,14.176470588235292,136.5625,,,,,,,2023,CB,129686,84.6,84.6
21,130576,2022,CB,defense,Eric Rogers,2091.0,80.0,2320.0,5219,0.0,0.0,0.0,0.0,0.0,78.51052631578948,55.5,71.1263157894737,13.878947368421052,72.22105263157896,,,,,,,344.25,,289.0,104.86666666666666,,,,,,,2022,CB,130576,60.3,60.3
22,145889,2023,CB,defense,Torrie Cox Jr.,2040.0,28.0,3445.0,5956,0.0,0.0,0.0,0.0,0.0,73.47368421052632,78.27777777777777,67.1421052631579,47.38947368421052,69.43684210526315,,,,,,,399.11764705882354,,342.52941176470586,180.92307692307693,,,,,,,2023,CB,145889,55.8,55.8
23,156555,2024,CB,defense,Hezekiah Masses,4889.0,0.0,5193.0,11266,0.0,0.0,0.0,0.0,0.0,64.03999999999999,,72.92,27.855,70.85,,,,,,,202.5,,255.3,411.6,,,,,,,2024,CB,156555,51.7,51.7
24,159892,2024,CB,defense,Jason Chambers,3403.0,17.0,3238.0,7529,0.0,0.0,0.0,0.0,0.0,75.88,68.47,71.495,39.17,72.69500000000001,,,,,,,238.6315789473684,,196.5,132.1,,,,,,,2024,CB,159892,55.7,55.7
25,172547,2024,CB,defense,Will James,4350.0,17.0,4197.0,10109,0.0,20.0,0.0,0.0,0.0,72.205,47.1,67.045,83.205,68.27,,59.5,,,,59.6,373.0,,348.7368421052632,230.21052631578948,,,,,,,2024,CB,172547,44.3,44.3
26,97144,2022,CB,defense,Malik Fleming,4479.0,73.0,6139.0,12206,0.0,0.0,0.0,0.0,0.0,79.16315789473686,61.87894736842105,76.55789473684212,84.0578947368421,78.5578947368421,,,,,,,118.47368421052632,,68.26315789473684,74.21052631578948,,,,,,,2022,S,97144,60.7,59.0
27,97144,2022,CB,defense,Malik Fleming,4479.0,73.0,6139.0,12206,0.0,0.0,0.0,0.0,0.0,79.16315789473686,61.87894736842105,76.55789473684212,84.0578947368421,78.5578947368421,,,,,,,118.47368421052632,,68.26315789473684,74.21052631578948,,,,,,,2022,CB,97144,74.4,74.4
28,65033,2020,CB,defense,Akayleb Evans,2376.0,3.0,2601.0,5320,0.0,0.0,0.0,0.0,0.0,67.01666666666667,78.3,65.16111111111111,14.605555555555554,64.52777777777777,,,,,,,240.25,,248.1875,172.38888888888889,,,,,,,2020,CB,65033,75.3,75.3
29,83459,2021,CB,defense,Beanie Bishop Jr.,2683.0,14.0,2811.0,7744,0.0,0.0,0.0,0.0,0.0,75.6842105263158,53.9,69.51578947368421,82.96842105263158,71.78947368421052,,,,,,,369.1333333333333,,277.6470588235294,143.5,,,,,,,2021,CB,83459,64.9,64.9
30,76604,2023,CB,defense,Capone Blue,4106.0,58.0,3752.0,9439,0.0,0.0,0.0,0.0,0.0,57.95789473684211,54.62105263157895,66.0578947368421,46.03684210526316,63.84736842105263,,,,,,,419.05263157894734,,523.421052631579,606.578947368421,,,,,,,2023,CB,76604,52.5,52.5
