season,offense,team_off_snaps
2020,ALAM,355
2021,ALAM,906
2022,ALAM,942
2023,ALAM,918
2024,ALAM,1078
2020,ALAU,902
2021,ALAU,1087
2022,ALAU,979
2023,ALAU,1010
2024,ALAU,930
2020,ALBI,741
2021,ALBI,984
2022,ALBI,1016
2023,ALBI,1031
2024,ALBI,1014
2022,ALFA,86
2020,ALJA,1023
2021,ALJA,879
2022,ALJA,888
2023,ALJA,1194
2024,ALJA,1174
2023,ALLI,83
2021,ALMI,153
2022,ALMI,93
2023,ALMI,177
2024,ALMI,74
2020,ALNO,298
2021,ALNO,870
2022,ALNO,919
2023,ALNO,993
2024,ALNO,974
2020,ALSM,670
2021,ALSM,1014
2022,ALSM,1181
2023,ALSM,986
2024,ALSM,962
2020,ALSO,917
2021,ALSO,1013
2022,ALSO,1136
2023,ALSO,1068
2024,ALSO,1036
2020,ALST,472
2021,ALST,870
2022,ALST,806
2023,ALST,752
2024,ALST,843
2020,ALTR,950
2021,ALTR,955
2022,ALTR,1075
2023,ALTR,1130
2024,ALTR,944
2021,ALTU,152
2022,ALTU,79
2023,ALTU,133
2024,ALTU,167
2020,ALUN,1088
2021,ALUN,1333
2022,ALUN,1083
2023,ALUN,1092
2024,ALUN,1018
2023,ARBP,93
2024,ARBP,70
2020,ARCE,777
2021,ARCE,925
2022,ARCE,897
2023,ARCE,907
2024,ARCE,967
2020,ARPB,478
2021,ARPB,875
2022,ARPB,916
2023,ARPB,892
2024,ARPB,907
2020,ARST,1033
2021,ARST,1085
2022,ARST,971
2023,ARST,1032
2024,ARST,1125
2020,ARUN,847
2021,ARUN,1096
2022,ARUN,1170
2023,ARUN,980
2024,ARUN,1089
2020,AZNO,425
2021,AZNO,981
2022,AZNO,993
2023,AZNO,886
2024,AZNO,979
2020,AZST,307
2021,AZST,975
2022,AZST,963
2023,AZST,982
2024,AZST,1159
2020,AZUN,452
2021,AZUN,1049
2022,AZUN,988
2023,AZUN,1033
2024,AZUN,940
2020,CADA,443
2021,CADA,1083
2022,CADA,953
2023,CADA,930
2024,CADA,1224
2020,CAFR,556
2021,CAFR,1145
2022,CAFR,1136
2023,CAFR,1069
2024,CAFR,999
2020,CALA,620
2021,CALA,1031
2022,CALA,1122
2023,CALA,1106
2024,CALA,890
2021,CALI,82
2022,CALI,406
2023,CALI,607
2024,CALI,208
2022,CALV,80
2021,CASA,1042
2022,CASA,1208
2023,CASA,1088
2024,CASA,1043
2020,CASC,536
2021,CASC,1078
2022,CASC,1196
2023,CASC,1029
2024,CASC,1081
2020,CASJ,630
2021,CASJ,934
2022,CASJ,940
2023,CASJ,984
2024,CASJ,1064
2020,CASL,273
2021,CASL,964
2022,CASL,974
2023,CASL,927
2024,CASL,859
2020,CASS,669
2021,CASS,1146
2022,CASS,996
2023,CASS,941
2024,CASS,971
2020,CAST,507
2021,CAST,870
2022,CAST,1001
2023,CAST,1018
2024,CAST,977
2020,CASU,479
2021,CASU,905
2022,CASU,764
2023,CASU,873
2024,CASU,848
2020,CAUN,346
2021,CAUN,939
2022,CAUN,963
2023,CAUN,1126
2024,CAUN,1092
2021,CNSF,80
2020,COAF,435
2021,COAF,1103
2022,COAF,1034
2023,COAF,980
2024,COAF,952
2020,COFL,94
2021,COFL,173
2023,COME,69
2021,CONO,888
2022,CONO,943
2023,CONO,851
2024,CONO,947
2020,COST,347
2021,COST,1102
2022,COST,865
2023,COST,1012
2024,COST,1033
2020,COUN,558
2021,COUN,878
2022,COUN,934
2023,COUN,1026
2024,COUN,1012
2020,COWE,76
2021,CTCE,939
2022,CTCE,868
2023,CTCE,852
2024,CTCE,1062
2022,CTPO,88
2023,CTPO,72
2020,CTSH,404
2021,CTSH,926
2022,CTSH,971
2023,CTSH,906
2024,CTSH,805
2021,CTSO,67
2022,CTSO,69
2021,CTUN,987
2022,CTUN,987
2023,CTUN,950
2024,CTUN,1115
2021,CTYA,838
2022,CTYA,812
2023,CTYA,803
2024,CTYA,842
2021,DCGT,820
2022,DCGT,926
2023,DCGT,909
2024,DCGT,869
2020,DCHO,156
2021,DCHO,815
2022,DCHO,895
2023,DCHO,947
2024,DCHO,949
2020,DEST,381
2021,DEST,874
2022,DEST,818
2023,DEST,792
2024,DEST,899
2020,DEUN,658
2021,DEUN,859
2022,DEUN,1095
2023,DEUN,1063
2024,DEUN,923
2021,FLAM,991
2022,FLAM,911
2023,FLAM,980
2024,FLAM,909
2020,FLAT,710
2021,FLAT,1008
2022,FLAT,1054
2023,FLAT,952
2024,FLAT,986
2021,FLAV,82
2024,FLAV,134
2021,FLBC,823
2022,FLBC,875
2023,FLBC,875
2024,FLBC,941
2020,FLCE,1028
2021,FLCE,1075
2022,FLCE,1260
2023,FLCE,1076
2024,FLCE,995
2020,FLEW,68
2022,FLEW,56
2024,FLEW,72
2021,FLFL,83
2022,FLFM,86
2023,FLFM,97
2020,FLIN,388
2021,FLIN,956
2022,FLIN,1013
2023,FLIN,951
2024,FLIN,905
2022,FLKE,93
2020,FLMI,973
2021,FLMI,1072
2022,FLMI,992
2023,FLMI,1057
2024,FLMI,1099
2022,FLSA,78
2023,FLSA,95
2020,FLSO,794
2021,FLSO,1022
2022,FLSO,950
2023,FLSO,1229
2024,FLSO,1149
2020,FLSS,310
2021,FLSS,892
2022,FLSS,822
2023,FLSS,894
2024,FLSS,948
2020,FLST,783
2021,FLST,962
2022,FLST,1074
2023,FLST,1104
2024,FLST,887
2020,FLUN,1021
2021,FLUN,1101
2022,FLUN,1013
2023,FLUN,983
2024,FLUN,990
2023,FLWE,72
2021,FLWR,67
2022,FLWR,82
2024,FLWR,79
2021,FLWS,72
2023,FLWS,167
2022,GAAL,74
2024,GACL,98
2021,GAFV,75
2024,GAFV,80
2020,GAKS,375
2021,GAKS,1048
2022,GAKS,1004
2023,GAKS,656
2024,GAKS,932
2020,GAME,903
2021,GAME,808
2022,GAME,907
2023,GAME,1013
2024,GAME,1136
2022,GAMH,73
2023,GAMH,81
2024,GAMH,69
2021,GAPT,151
2024,GAPT,76
2021,GARE,57
2023,GASA,74
2024,GASA,56
2020,GASH,83
2023,GASH,178
2024,GASH,84
2020,GASO,993
2021,GASO,994
2022,GASO,1187
2023,GASO,1149
2024,GASO,1081
2020,GAST,916
2021,GAST,1091
2022,GAST,1060
2023,GAST,1073
2024,GAST,993
2020,GATC,847
2021,GATC,978
2022,GATC,993
2023,GATC,1062
2024,GATC,1083
2020,GAUN,820
2021,GAUN,1145
2022,GAUN,1248
2023,GAUN,1140
2024,GAUN,1125
2023,GAVA,86
2023,GAWG,746
2024,GAWG,919
2020,HIUN,780
2021,HIUN,1097
2022,HIUN,1096
2023,HIUN,1050
2024,HIUN,980
2020,IADR,347
2021,IADR,751
2022,IADR,906
2023,IADR,953
2024,IADR,871
2020,IANO,529
2021,IANO,953
2022,IANO,863
2023,IANO,858
2024,IANO,850
2023,IANW,82
