season,position,pff_player_id,wick_score,capped_wick_score
2024,QB,149182,52.7,44.4
2024,QB,105568,65,60.5
2024,QB,158683,45.7,35.3
2024,QB,122162,50.3,41.3
2024,QB,129906,53.6,45.6
2024,QB,143862,68.8,65.4
2024,QB,157756,14.1,0
2024,QB,156927,73.1,71.1
2024,QB,122475,57.6,50.9
2024,QB,172381,52.7,44.5
2024,QB,131396,82.9,83.8
2024,QB,158082,37.3,24.3
2024,QB,156733,38.6,26
2024,QB,144442,75.1,73.6
2024,QB,144971,51,42.2
2024,QB,184271,49.1,39.7
2024,QB,169984,83.8,85
2024,QB,162521,56.7,49.7
2024,QB,171556,57.6,50.8
2024,QB,157141,33.8,19.8
2024,QB,99135,59.7,53.6
2024,QB,145214,53.5,45.4
2024,QB,145996,66.3,62.2
2024,QB,101058,65.2,60.7
2024,QB,145086,36.6,23.4
2024,QB,122414,31.7,17
2024,QB,97998,79.8,79.8
2024,QB,164027,61.3,55.6
2024,QB,98014,58.7,52.3
2024,QB,145053,64,59.2
2024,QB,144185,61.7,56.2
2024,QB,146802,67.9,64.2
2024,QB,145266,47.9,38.2
2024,QB,123758,57.5,50.8
2024,QB,156185,46.6,36.4
2024,QB,97994,83.8,85
2024,QB,124010,62.6,57.4
2024,QB,133244,84.4,85.8
2024,QB,122282,78.6,78.2
2024,QB,131734,56.8,49.8
2024,QB,101284,59,52.6
2024,QB,173727,51.5,42.9
2024,QB,146839,59.1,52.8
2024,QB,156398,62.5,57.2
2024,QB,142567,62.7,57.5
2024,QB,131845,50,40.9
2024,QB,157344,50.5,41.6
2024,QB,146713,56.8,49.7
2024,QB,70961,65,60.5
2024,QB,70727,56.5,49.3
2024,QB,157302,52.2,43.8
2024,QB,104768,60.2,54.2
2024,QB,156642,62.1,56.7
2024,QB,144506,57.2,50.4
2024,QB,98362,65.4,61
2024,QB,175465,74.7,73.2
2024,QB,82115,72.8,70.6
2024,QB,158433,61.8,56.3
2024,QB,122864,43.9,33
2024,QB,127253,54.4,46.7
2024,QB,97617,49.3,39.9
2024,QB,123504,39.3,26.9
2024,QB,82136,56.1,48.9
2024,QB,146409,92.5,96.4
2024,QB,124184,60.8,55
2024,QB,70874,51.9,43.4
2024,QB,123109,50.9,42
2024,QB,143041,36.3,23
2024,QB,122599,78.7,78.3
2024,QB,86272,78.2,77.7
2024,QB,172309,76,74.8
2024,QB,174978,50.8,41.9
2024,QB,101286,49.8,40.6
2024,QB,163150,44.1,33.3
2024,QB,147609,58,51.3
2024,QB,102348,64.7,60.1
2024,QB,144847,45.2,34.6
2024,QB,122938,58.8,52.4
2024,QB,158323,64.9,60.3
2024,QB,100201,67.7,64
2024,QB,183305,48,38.3
2024,QB,101629,68.6,65.2
2024,QB,99577,53.6,45.6
2024,QB,158386,53.7,45.8
2024,QB,175731,39.4,27.1
2024,QB,158516,70.3,67.4
2024,QB,73929,27.8,11.9
2024,QB,150302,45.7,35.3
2024,QB,132046,56.5,49.4
2024,QB,156667,51.4,42.7
2024,QB,173684,58.7,52.2
2024,QB,143941,37.7,24.9
2024,QB,163817,54.5,46.8
2024,QB,99129,59,52.6
2024,QB,145858,43,31.8
2024,QB,124329,73.8,72
2024,QB,144197,0,0
2024,QB,131896,59.3,53
2024,QB,146688,52.6,44.3
2024,QB,174728,75.2,73.8
2024,QB,77679,46,35.6
2024,QB,83537,76.6,75.6
2024,QB,122830,61.8,56.4
2024,QB,157688,65.6,61.3
2024,QB,158135,47.1,37.1
2024,QB,131687,69.7,66.6
2024,QB,170131,50.3,41.3
2024,QB,101620,51.1,42.3
2024,QB,184200,65,60.5
2023,QB,157186,38.5,39.3
2023,QB,77679,45,47.3
2023,QB,83581,59.1,64.8
2023,QB,170131,47.5,50.5
2023,QB,144971,31.4,30.6
2023,QB,111760,43.9,46.1
2023,QB,145763,31.7,30.9
2023,QB,130529,37.7,38.4
2023,QB,77655,47.2,50.1
2023,QB,122864,40.1,41.3
2023,QB,144144,39.2,40.2
2023,QB,122282,53.3,57.6
2023,QB,97790,86.2,98.2
2023,QB,157141,23.9,21.3
2023,QB,156398,47.9,51
2023,QB,145034,58.4,63.9
2023,QB,131687,46.4,49.1
2023,QB,77696,51,54.8
2023,QB,131845,38.8,39.7
2023,QB,101620,26.6,24.6
2023,QB,144622,73.7,82.8
2023,QB,145266,49.4,52.8
2023,QB,133244,57.1,62.3
2023,QB,156190,26.2,24.2
2023,QB,139131,45.3,47.7
