pff_player_id,player_name,prev_season,current_season,prev_position,current_pos,prev_gsis,prev_school,current_gsis,current_school,prev_level,current_level,prev_def_snaps,current_def_snaps,prev_off_snaps,current_off_snaps
21922,Mark Williams,2020,2021,CB,CB,ILEA,Eastern Illinois,LANE,Louisiana-Monroe,FCS,Group of Six,348.0,303.0,,
23441,Reggie Stubblefield,2020,2021,CB,S,TXPV,Prairie View A&M,KSST,Kansas State,FCS,Power Four,185.0,501.0,,
28919,Jawon Hamilton,2020,2021,HB,HB,VAJM,James Madison,MIEA,Eastern Michigan,FCS,Group of Six,,,170.0,227.0
30285,Colby Reeder,2021,2022,LB,LB,DEUN,Delaware,IAST,Iowa State,FCS,Power Four,441.0,361.0,,
30557,Adam Cofield,2020,2021,HB,HB,NDST,North Dakota State,KYWE,Western Kentucky,FCS,Group of Six,,,41.0,390.0
36723,Elijah Taylor,2020,2021,ED,ED,KYEA,Eastern Kentucky,OKTU,Tulsa,FCS,Group of Six,340.0,266.0,,
37101,Tony Fair,2020,2021,DI,DI,ALBI,UAB,ALAU,Auburn,Group of Six,Power Four,237.0,215.0,,
38411,Melquise Stovall,2020,2021,WR,WR,HIUN,Hawaii,PAPT,Pittsburgh,Group of Six,Power Four,,,263.0,173.0
40110,McKenzie Milton,2020,2021,QB,QB,FLCE,UCF,FLST,Florida State,Group of Six,Power Four,,,,279.0
40256,Tyler Witt,2020,2021,G,G,KYWE,Western Kentucky,INPU,Purdue,Group of Six,Power Four,,,725.0,964.0
40384,Shai Werts,2020,2021,QB,WR,GASO,Georgia Southern,KYLO,Louisville,Group of Six,Power Four,,1.0,651.0,174.0
40471,Danny Godlevske,2019,2020,C,C,OHMI,Miami (OH),OKST,Oklahoma State,Group of Six,Power Four,,,,162.0
40508,Zeb Noland,2020,2021,QB,QB,NDST,North Dakota State,SCUN,South Carolina,FCS,Power Four,,,293.0,219.0
40641,Vincent Picozzi,2021,2022,G,G,COST,Colorado State,ILNW,Northwestern,Group of Six,Power Four,,,303.0,655.0
40691,Keith Corbin,2019,2020,WR,WR,MSJA,Jackson State,TXHO,Houston,FCS,Group of Six,,,,391.0
41481,Jonathan Timmons,2020,2021,G,G,ALAM,Alabama A&M,NCCR,Charlotte,FCS,Group of Six,,,96.0,550.0
41602,Cain Madden,2020,2021,G,G,WVMA,Marshall,INND,Notre Dame,Group of Six,Power Four,,,573.0,902.0
41966,Devaughn Cooper,2020,2021,WR,WR,TXEP,UTEP,NYSY,Syracuse,Group of Six,Power Four,,,267.0,261.0
42095,Jahcour Pearson,2020,2021,WR,WR,KYWE,Western Kentucky,MSUN,Mississippi,Group of Six,Power Four,,,88.0,563.0
42587,Leevel Tatum III,2020,2021,DI,DI,CAFR,Fresno State,AZUN,Arizona,Group of Six,Power Four,102.0,179.0,,
42620,Brandon Moore,2021,2022,CB,CB,FLCE,UCF,NEUN,Nebraska,Group of Six,Power Four,,137.0,,
42650,Broderick Harrell,2019,2020,S,S,ORPS,Portland State,TXEP,UTEP,FCS,Group of Six,,367.0,,
42679,Isaiah Graham-Mobley,2020,2021,LB,LB,PATE,Temple,MABC,Boston College,Group of Six,Power Four,106.0,438.0,,1.0
43185,Justin Clark,2021,2022,CB,CB,OHTO,Toledo,WIUN,Wisconsin,Group of Six,Power Four,425.0,229.0,,
43585,Ryan Boehm,2020,2021,ED,DI,CASL,Cal Poly,CAFR,Fresno State,FCS,Group of Six,153.0,250.0,,
43744,Kainoa Fuiava,2020,2021,ED,DI,IDST,Idaho State,MIWE,Western Michigan,FCS,Group of Six,338.0,182.0,,
43918,Timmy Horne,2020,2021,DI,DI,NCCR,Charlotte,KSST,Kansas State,Group of Six,Power Four,214.0,376.0,1.0,
44606,JaChai Baker,2020,2021,C,T,MOSE,Southeast Missouri State,ALSO,South Alabama,FCS,Group of Six,,,373.0,817.0
45197,Tyrone Hill Jr.,2020,2021,CB,S,NYBU,Buffalo,WAST,Washington State,Group of Six,Power Four,324.0,288.0,,
52207,Jaeger Bull,2021,2022,TE,TE,TXRI,Rice,NCWF,Wake Forest,Group of Six,Power Four,,,356.0,228.0
52925,Zaid Hamdan,2022,2023,ED,DI,ILSO,Southern Illinois,OKTU,Tulsa,FCS,Group of Six,,264.0,,1.0
53418,James Camden,2024,2025,LB,LB,KYMU,Murray State,MIWE,Western Michigan,FCS,Group of Six,371.0,156.0,1.0,
53571,Rusty Feth,2022,2023,C,G,OHMI,Miami (OH),IAUN,Iowa,Group of Six,Power Four,,,773.0,608.0
54193,Jaheim Thomas,2022,2023,LB,LB,OHCI,Cincinnati,ARUN,Arkansas,Group of Six,Power Four,443.0,528.0,,
54240,Cheikhsaliou Fall,2023,2024,ED,ED,KYEA,Eastern Kentucky,CAUN,California,FCS,Power Four,228.0,280.0,,
54533,John Brekke,2021,2022,G,G,MAHC,Holy Cross,OHMI,Miami (OH),FCS,Group of Six,,,592.0,455.0
54967,Isaiah Norman,2021,2022,CB,S,TNAP,Austin Peay,WVMA,Marshall,FCS,Group of Six,541.0,377.0,,
55024,Jacob Gall,2020,2021,G,C,NYBU,Buffalo,TXBA,Baylor,Group of Six,Power Four,,,454.0,938.0
55046,Devonni Reed,2021,2022,S,S,MICE,Central Michigan,SCUN,South Carolina,Group of Six,Power Four,726.0,373.0,,
55050,Troy Brown,2021,2022,LB,LB,MICE,Central Michigan,MSUN,Mississippi,Group of Six,Power Four,534.0,565.0,,
55110,Robert Holmes,2020,2021,C,T,TNAP,Austin Peay,ARST,Arkansas State,FCS,Group of Six,,,498.0,257.0
55143,Mike Purcell,2022,2023,C,C,NCEL,Elon,MDUN,Maryland,FCS,Power Four,,,771.0,411.0
55198,Jordan Strachan,2020,2021,ED,ED,GAST,Georgia State,SCUN,South Carolina,Group of Six,Power Four,576.0,281.0,,
55283,Keith Pearson,2020,2021,WR,WR,SCPR,Presbyterian,NCCR,Charlotte,FCS,Group of Six,,,458.0,187.0
55569,Azizi Hearn,2021,2022,CB,CB,WYUN,Wyoming,CALA,UCLA,Group of Six,Power Four,851.0,632.0,,
55609,Wesley McCormick,2021,2022,CB,CB,VAJM,James Madison,WVUN,West Virginia,FCS,Power Four,25.0,294.0,,
55638,Zack Sanders,2021,2022,CB,CB,MOSW,Missouri State,OHUN,Ohio,FCS,Group of Six,466.0,681.0,,
55750,C.J. Coldon Jr.,2021,2022,CB,CB,WYUN,Wyoming,OKUN,Oklahoma,Group of Six,Power Four,902.0,514.0,,
56037,T.J. Carter,2020,2021,CB,S,TNMS,Memphis,TXCU,TCU,Group of Six,Power Four,399.0,584.0,,
56122,Cam Johnson,2020,2021,CB,CB,TXNO,North Texas,CALA,UCLA,Group of Six,Power Four,668.0,481.0,,
56169,Bydarrius Knighten,2020,2021,S,S,MOSE,Southeast Missouri State,ALAU,Auburn,FCS,Power Four,525.0,487.0,,
56240,Jordan Perryman,2021,2022,CB,CB,CADA,UC Davis,WAUN,Washington,FCS,Power Four,859.0,534.0,1.0,
56334,Myles Cecil,2021,2022,DI,DI,CASL,Cal Poly,TNVA,Vanderbilt,FCS,Power Four,525.0,219.0,,
56443,Damion Barber,2021,2022,DI,DI,TNAP,Austin Peay,WVMA,Marshall,FCS,Group of Six,288.0,282.0,,
56490,Antoine Cook,2020,2021,ED,ED,OHYO,Youngstown State,OHKS,Kent State,FCS,Group of Six,132.0,589.0,,
56570,Shaundre Mims,2021,2022,DI,DI,SCCH,Charleston Southern,NCEA,East Carolina,FCS,Group of Six,669.0,346.0,,
56862,Arnold Ebiketie,2020,2021,ED,ED,PATE,Temple,PAST,Penn State,Group of Six,Power Four,340.0,741.0,,
56866,Ifeanyi Maijeh,2020,2021,DI,DI,PATE,Temple,NJRU,Rutgers,Group of Six,Power Four,350.0,447.0,,
56927,Jordan Ward,2020,2021,DI,DI,VAMI,Virginia Military Institute,INBS,Ball State,FCS,Group of Six,346.0,416.0,,
56965,Vidal Scott,2021,2022,DI,ED,ARST,Arkansas State,TXTC,Texas Tech,Group of Six,Power Four,549.0,234.0,,
57007,Weston Kramer,2020,2021,DI,DI,ILNO,Northern Illinois,INUN,Indiana,Group of Six,Power Four,256.0,551.0,,
57038,Morris Joseph Jr.,2021,2022,ED,DI,TNMS,Memphis,ALAU,Auburn,Group of Six,Power Four,575.0,179.0,,
57167,Andrew Clair,2020,2021,HB,HB,OHBG,Bowling Green,ILNW,Northwestern,Group of Six,Power Four,,,130.0,220.0
57490,Xazavian Valladay,2021,2022,HB,HB,WYUN,Wyoming,AZST,Arizona State,Group of Six,Power Four,,,605.0,649.0
57662,Jack Gibbens,2020,2021,LB,LB,TXAC,Abilene Christian,MNUN,Minnesota,FCS,Power Four,340.0,697.0,,
57759,Jerry Roberts,2020,2021,LB,LB,OHBG,Bowling Green,AZUN,Arizona,Group of Six,Power Four,285.0,309.0,,
57885,Diamonte Tucker-Dorsey,2021,2022,LB,LB,VAJM,James Madison,TXUN,Texas,FCS,Power Four,817.0,337.0,,
